Date,Portfolio_Value
0,100.0
1,100.0
2,100.0
3,100.89500000000001
4,100.89500000000001
5,108.53200000000001
6,108.53200000000001
7,108.53200000000001
8,116.15100000000001
9,123.71800000000002
10,131.149
11,131.149
12,138.732
13,138.732
14,138.732
15,138.732
16,138.732
17,139.611
18,140.489
19,141.375
20,141.375
21,141.375
22,141.375
23,141.375
24,141.375
25,141.375
26,148.965
27,156.501
28,156.501
29,164.086
30,171.63500000000002
31,179.13600000000002
32,179.13600000000002
33,180.02900000000002
34,180.02900000000002
35,180.02900000000002
36,180.02900000000002
37,180.02900000000002
38,180.877
39,181.72000000000003
40,182.56400000000002
41,182.56400000000002
42,182.56400000000002
43,183.425
44,184.281
45,185.139
46,186.01500000000001
47,186.01500000000001
48,186.885
49,186.885
50,187.75300000000001
51,187.75300000000001
52,187.75300000000001
53,187.75300000000001
54,187.75300000000001
55,187.75300000000001
56,187.75300000000001
57,187.75300000000001
58,187.75300000000001
59,194.98700000000002
60,194.98700000000002
61,194.98700000000002
62,194.98700000000002
63,194.98700000000002
64,194.98700000000002
65,194.98700000000002
66,194.98700000000002
67,194.98700000000002
68,194.98700000000002
69,194.98700000000002
70,194.98700000000002
71,194.98700000000002
72,194.98700000000002
73,194.98700000000002
74,194.98700000000002
75,194.98700000000002
76,194.98700000000002
77,194.98700000000002
78,194.98700000000002
79,202.294
80,202.294
81,202.294
82,202.294
83,203.164
84,204.047
85,204.933
86,205.82
87,206.71
88,207.60000000000002
89,208.491
90,209.38100000000003
91,210.27200000000002
92,210.27200000000002
93,210.27200000000002
94,210.27200000000002
95,210.27200000000002
96,210.27200000000002
97,210.27200000000002
98,217.67800000000003
99,225.08700000000002
100,232.485
101,239.919
102,247.348
103,247.348
104,247.348
105,247.348
106,247.348
107,247.348
108,247.348
109,254.92700000000002
110,262.46500000000003
111,269.97800000000007
112,277.485
113,285.02900000000005
114,292.5780000000001
115,300.13700000000006
116,307.71100000000007
117,315.2650000000001
118,315.2650000000001
119,315.2650000000001
120,315.2650000000001
121,316.1640000000001
122,317.0630000000001
123,317.95400000000006
124,317.95400000000006
125,317.95400000000006
126,317.95400000000006
127,317.95400000000006
128,317.95400000000006
129,317.95400000000006
130,317.95400000000006
131,317.95400000000006
132,317.95400000000006
133,325.6880000000001
134,325.6880000000001
135,325.6880000000001
136,325.6880000000001
137,333.24000000000007
138,340.91400000000004
139,348.56000000000006
140,348.56000000000006
141,356.19500000000005
142,363.79600000000005
143,371.35
144,378.92900000000003
145,386.46400000000006
146,386.46400000000006
147,386.46400000000006
148,386.46400000000006
149,386.46400000000006
150,386.46400000000006
151,386.46400000000006
152,386.46400000000006
153,387.3400000000001
154,388.21100000000007
155,389.08000000000004
156,389.08000000000004
157,389.9560000000001
158,389.9560000000001
159,389.9560000000001
160,389.9560000000001
161,389.9560000000001
162,390.83900000000006
163,390.83900000000006
164,390.83900000000006
165,390.83900000000006
166,390.83900000000006
167,391.7120000000001
168,391.7120000000001
169,391.7120000000001
170,391.7120000000001
171,391.7120000000001
172,391.7120000000001
173,391.7120000000001
174,391.7120000000001
175,392.5950000000001
176,400.0650000000001
177,407.43900000000014
178,407.43900000000014
179,407.43900000000014
180,407.43900000000014
181,407.43900000000014
182,408.3080000000001
183,408.3080000000001
184,408.3080000000001
185,408.3080000000001
186,408.3080000000001
187,408.3080000000001
188,408.3080000000001
189,408.3080000000001
190,408.3080000000001
191,408.3080000000001
192,408.3080000000001
193,408.3080000000001
194,408.3080000000001
195,408.3080000000001
196,408.3080000000001
197,408.3080000000001
198,408.3080000000001
199,408.3080000000001
