Instrument-1,Instrument-2,p-value,t-value,critical value,hedge_ratio,Zero_crossings
MANAUSDT,RDNTUSDT,0.03,-3.48,-3.37,2.38,11
DENTUSDT,RNDRUSDT,0.02,-3.6,-3.37,0.0,11
IDUSDT,STGUSDT,0.02,-3.61,-3.37,1.48,11
SOLUSDT,MAVUSDT,0.03,-3.51,-3.37,383.32,11
IOTAUSDT,IMXUSDT,0.02,-3.73,-3.37,0.1,11
MANAUSDT,OPUSDT,0.04,-3.41,-3.37,0.18,11
MASKUSDT,OPUSDT,0.03,-3.54,-3.37,1.35,11
MANAUSDT,SXPUSDT,0.01,-3.9,-3.37,1.3,11
MANAUSDT,ADAUSDT,0.04,-3.38,-3.37,0.98,11
JOEUSDT,ATOMUSDT,0.01,-3.92,-3.37,0.06,11
MASKUSDT,IMXUSDT,0.03,-3.52,-3.37,1.45,11
BNBUSDT,STMXUSDT,0.0,-4.29,-3.37,73742.74,11
FILUSDT,LUNCUSDT,0.04,-3.44,-3.37,51930.34,11
FILUSDT,STMXUSDT,0.05,-3.37,-3.37,726.12,11
MANAUSDT,BSVUSDT,0.04,-3.41,-3.37,0.01,11
BATUSDT,CHZUSDT,0.04,-3.38,-3.37,1.85,11
BELUSDT,SHIBUSDT,0.01,-3.84,-3.37,34668.76,11
MOVRUSDT,STMXUSDT,0.04,-3.38,-3.37,1877.27,11
IOTAUSDT,BCHUSDT,0.02,-3.63,-3.37,0.0,11
LTCUSDT,OMGUSDT,0.04,-3.4,-3.37,116.29,11
LTCUSDT,RDNTUSDT,0.0,-5.03,-3.37,441.28,11
MASKUSDT,TRXUSDT,0.03,-3.47,-3.37,30.5,11
LTCUSDT,SAGAUSDT,0.01,-3.79,-3.37,34.12,11
METISUSDT,DOTUSDT,0.04,-3.38,-3.37,10.43,11
ADAUSDT,FETUSDT,0.01,-4.05,-3.37,0.2,11
APEUSDT,LEVERUSDT,0.01,-3.91,-3.37,344.06,11
TLMUSDT,BCHUSDT,0.01,-4.07,-3.37,0.0,11
BATUSDT,ARUSDT,0.03,-3.52,-3.37,0.01,11
TRXUSDT,GMXUSDT,0.03,-3.58,-3.37,0.0,11
SOLUSDT,LDOUSDT,0.01,-3.86,-3.37,71.5,10
HOTUSDT,SHIBUSDT,0.03,-3.55,-3.37,95.6,10
LRCUSDT,ETHFIUSDT,0.01,-4.0,-3.37,0.06,10
MOVRUSDT,SSVUSDT,0.03,-3.48,-3.37,0.33,10
MANAUSDT,ONEUSDT,0.01,-3.95,-3.37,20.18,10
MOVRUSDT,BNXUSDT,0.02,-3.61,-3.37,11.89,10
XRPUSDT,BNXUSDT,0.04,-3.38,-3.37,0.41,10
ALGOUSDT,COREUSDT,0.01,-3.88,-3.37,0.1,10
TRXUSDT,CYBERUSDT,0.03,-3.53,-3.37,0.01,10
ICPUSDT,ALTUSDT,0.04,-3.41,-3.37,35.31,10
STRKUSDT,KNCUSDT,0.03,-3.5,-3.37,1.89,10
GMTUSDT,1000BONKUSDT,0.0,-4.14,-3.37,6.45,10
MOVRUSDT,UNFIUSDT,0.04,-3.42,-3.37,3.0,10
TRXUSDT,UNFIUSDT,0.01,-4.07,-3.37,0.02,10
APEUSDT,ETCUSDT,0.02,-3.65,-3.37,0.04,10
TRXUSDT,CHRUSDT,0.01,-3.86,-3.37,0.33,10
MASKUSDT,COREUSDT,0.03,-3.56,-3.37,1.75,10
IOTAUSDT,KNCUSDT,0.03,-3.57,-3.37,0.35,10
IOTAUSDT,SHIBUSDT,0.04,-3.42,-3.37,8931.22,10
ADAUSDT,GRTUSDT,0.0,-4.32,-3.37,1.44,10
MATICUSDT,TAOUSDT,0.03,-3.58,-3.37,0.0,10
MANAUSDT,SUSHIUSDT,0.04,-3.44,-3.37,0.37,10
MANAUSDT,NKNUSDT,0.03,-3.48,-3.37,3.8,9
LRCUSDT,AAVEUSDT,0.04,-3.43,-3.37,0.0,9
TLMUSDT,EOSUSDT,0.04,-3.46,-3.37,0.02,9
LRCUSDT,METISUSDT,0.03,-3.5,-3.37,0.0,9
MANAUSDT,MKRUSDT,0.03,-3.48,-3.37,0.0,9
LQTYUSDT,ADAUSDT,0.02,-3.62,-3.37,2.44,9
GMXUSDT,BCHUSDT,0.03,-3.59,-3.37,0.07,9
APEUSDT,IOSTUSDT,0.03,-3.48,-3.37,141.24,9
MANAUSDT,IMXUSDT,0.04,-3.4,-3.37,0.19,9
MANAUSDT,ENSUSDT,0.04,-3.39,-3.37,0.02,9
XRPUSDT,CHRUSDT,0.0,-4.62,-3.37,1.53,9
MOVRUSDT,RNDRUSDT,0.03,-3.49,-3.37,1.49,9
MOVRUSDT,GRTUSDT,0.04,-3.38,-3.37,47.41,9
MOVRUSDT,SXPUSDT,0.04,-3.43,-3.37,43.74,9
MOVRUSDT,AAVEUSDT,0.04,-3.47,-3.37,0.15,9
MOVRUSDT,ETHUSDT,0.02,-3.7,-3.37,0.0,9
LTCUSDT,SHIBUSDT,0.04,-3.44,-3.37,3323495.27,9
LTCUSDT,FLMUSDT,0.04,-3.39,-3.37,860.59,9
WUSDT,CHZUSDT,0.03,-3.47,-3.37,4.33,9
LTCUSDT,TNSRUSDT,0.01,-4.06,-3.37,82.38,9
ADAUSDT,RADUSDT,0.04,-3.38,-3.37,0.27,9
ADAUSDT,SUPERUSDT,0.0,-4.42,-3.37,0.45,9
TRXUSDT,EGLDUSDT,0.04,-3.41,-3.37,0.0,9
ZETAUSDT,RDNTUSDT,0.0,-4.56,-3.37,7.81,9
TRXUSDT,FXSUSDT,0.04,-3.46,-3.37,0.02,9
TRXUSDT,AXLUSDT,0.04,-3.43,-3.37,0.12,9
SOLUSDT,MAGICUSDT,0.02,-3.65,-3.37,211.75,9
BATUSDT,TRUUSDT,0.03,-3.5,-3.37,1.48,9
MATICUSDT,RADUSDT,0.03,-3.53,-3.37,0.42,9
RADUSDT,BCHUSDT,0.0,-4.22,-3.37,0.0,9
RADUSDT,BTCUSDT,0.0,-4.26,-3.37,0.0,9
DENTUSDT,STMXUSDT,0.03,-3.51,-3.37,0.17,9
ICPUSDT,LINKUSDT,0.03,-3.5,-3.37,0.7,9
ICPUSDT,OCEANUSDT,0.0,-4.54,-3.37,12.68,9
ICPUSDT,AGIXUSDT,0.0,-4.44,-3.37,12.72,9
SFPUSDT,RSRUSDT,0.05,-3.37,-3.37,97.28,9
NKNUSDT,UNIUSDT,0.01,-3.92,-3.37,0.01,9
BATUSDT,HBARUSDT,0.04,-3.42,-3.37,2.29,9
BSVUSDT,LINKUSDT,0.01,-3.94,-3.37,3.64,9
IOTAUSDT,CHZUSDT,0.02,-3.68,-3.37,1.7,9
MASKUSDT,GRTUSDT,0.04,-3.4,-3.37,10.77,9
APEUSDT,TRUUSDT,0.02,-3.73,-3.37,7.81,9
MASKUSDT,GMXUSDT,0.02,-3.6,-3.37,0.11,9
GMTUSDT,UNIUSDT,0.01,-3.89,-3.37,0.02,9
MASKUSDT,TRUUSDT,0.0,-4.11,-3.37,20.95,9
MASKUSDT,HBARUSDT,0.03,-3.5,-3.37,32.27,9
MASKUSDT,BELUSDT,0.01,-4.08,-3.37,3.94,9
MASKUSDT,AVAXUSDT,0.04,-3.4,-3.37,0.09,9
MASKUSDT,LINKUSDT,0.01,-3.87,-3.37,0.2,9
LUNCUSDT,BCHUSDT,0.04,-3.47,-3.37,0.0,9
LUNCUSDT,EOSUSDT,0.04,-3.47,-3.37,0.0,9
IOTAUSDT,DOTUSDT,0.03,-3.47,-3.37,0.03,9
ZILUSDT,SPELLUSDT,0.04,-3.4,-3.37,26.27,9
IOTAUSDT,NEOUSDT,0.03,-3.55,-3.37,0.01,9
APEUSDT,RNDRUSDT,0.04,-3.47,-3.37,0.13,9
MASKUSDT,DARUSDT,0.01,-3.82,-3.37,21.23,9
BATUSDT,IMXUSDT,0.04,-3.44,-3.37,0.1,9
APEUSDT,SKLUSDT,0.04,-3.44,-3.37,14.73,9
APEUSDT,DARUSDT,0.01,-4.03,-3.37,7.92,9
APEUSDT,LTCUSDT,0.04,-3.47,-3.37,0.02,9
MASKUSDT,API3USDT,0.02,-3.67,-3.37,1.21,9
MASKUSDT,UNFIUSDT,0.01,-3.88,-3.37,0.68,8
MOVRUSDT,CHRUSDT,0.01,-3.92,-3.37,44.24,8
MOVRUSDT,ARBUSDT,0.04,-3.45,-3.37,12.93,8
MANAUSDT,SHIBUSDT,0.03,-3.49,-3.37,17911.99,8
MANAUSDT,KSMUSDT,0.04,-3.46,-3.37,0.01,8
LRCUSDT,ENAUSDT,0.02,-3.74,-3.37,0.32,8
MASKUSDT,ALGOUSDT,0.04,-3.42,-3.37,18.41,8
APEUSDT,COREUSDT,0.01,-3.84,-3.37,0.65,8
MASKUSDT,LEVERUSDT,0.02,-3.74,-3.37,922.89,8
WAXPUSDT,ATOMUSDT,0.04,-3.42,-3.37,0.01,8
MASKUSDT,SHIBUSDT,0.0,-4.13,-3.37,136734.82,8
GMTUSDT,PEPEUSDT,0.03,-3.57,-3.37,15453.56,8
TRXUSDT,BNXUSDT,0.01,-4.08,-3.37,0.09,8
ZILUSDT,JOEUSDT,0.02,-3.68,-3.37,0.05,8
TRXUSDT,AXSUSDT,0.03,-3.53,-3.37,0.01,8
APEUSDT,PEPEUSDT,0.03,-3.53,-3.37,85949.11,8
MOVRUSDT,ETCUSDT,0.03,-3.54,-3.37,0.49,8
LTCUSDT,1000RATSUSDT,0.03,-3.48,-3.37,603.65,8
LTCUSDT,UNFIUSDT,0.03,-3.54,-3.37,16.56,8
SOLUSDT,ALTUSDT,0.01,-3.91,-3.37,486.32,8
APEUSDT,INJUSDT,0.04,-3.39,-3.37,0.05,8
LRCUSDT,SSVUSDT,0.01,-3.93,-3.37,0.01,8
IOTAUSDT,SOLUSDT,0.04,-3.41,-3.37,0.0,8
LRCUSDT,BLURUSDT,0.01,-3.8,-3.37,0.64,8
MANAUSDT,WOOUSDT,0.02,-3.63,-3.37,1.34,8
CRVUSDT,OGNUSDT,0.03,-3.58,-3.37,3.06,8
LUNCUSDT,ETHUSDT,0.04,-3.42,-3.37,0.0,8
MOVRUSDT,PEPEUSDT,0.03,-3.51,-3.37,1014243.32,8
ALGOUSDT,UNIUSDT,0.04,-3.41,-3.37,0.02,7
1000XECUSDT,AGIXUSDT,0.02,-3.63,-3.37,0.05,7
APEUSDT,BCHUSDT,0.02,-3.61,-3.37,0.0,7
APEUSDT,SPELLUSDT,0.03,-3.51,-3.37,1403.73,7
BNBUSDT,LINKUSDT,0.03,-3.53,-3.37,34.41,7
MATICUSDT,SPELLUSDT,0.04,-3.39,-3.37,785.54,7
MKRUSDT,LINKUSDT,0.01,-3.9,-3.37,159.99,7
RADUSDT,LTCUSDT,0.0,-4.25,-3.37,0.02,7
1000XECUSDT,RDNTUSDT,0.01,-3.9,-3.37,0.26,7
ZILUSDT,LEVERUSDT,0.01,-3.8,-3.37,6.44,7
BCHUSDT,TRUUSDT,0.02,-3.72,-3.37,2907.86,7
APEUSDT,CELRUSDT,0.04,-3.43,-3.37,49.36,7
IDUSDT,LINKUSDT,0.04,-3.39,-3.37,0.04,7
LTCUSDT,ENSUSDT,0.0,-4.44,-3.37,3.48,7
BATUSDT,LINKUSDT,0.04,-3.38,-3.37,0.01,7
MASKUSDT,ZRXUSDT,0.03,-3.48,-3.37,6.26,7
MASKUSDT,CHZUSDT,0.02,-3.75,-3.37,26.08,7
MASKUSDT,FETUSDT,0.04,-3.45,-3.37,1.5,7
LQTYUSDT,UNIUSDT,0.0,-4.21,-3.37,0.11,7
MOVRUSDT,LINKUSDT,0.03,-3.5,-3.37,0.88,7
XAIUSDT,EOSUSDT,0.01,-3.99,-3.37,0.9,7
BATUSDT,ENSUSDT,0.01,-3.85,-3.37,0.01,7
LTCUSDT,LINKUSDT,0.0,-4.17,-3.37,4.84,7
MOVRUSDT,API3USDT,0.02,-3.63,-3.37,5.31,7
MANAUSDT,STMXUSDT,0.02,-3.65,-3.37,55.89,7
MASKUSDT,ARUSDT,0.04,-3.46,-3.37,0.09,7
ORBSUSDT,TRUUSDT,0.02,-3.74,-3.37,0.2,7
ORBSUSDT,ZETAUSDT,0.01,-3.96,-3.37,0.02,7
IOSTUSDT,LINKUSDT,0.04,-3.39,-3.37,0.0,7
TRXUSDT,IOTXUSDT,0.03,-3.53,-3.37,2.16,7
APEUSDT,CHZUSDT,0.04,-3.46,-3.37,9.72,7
ICPUSDT,ENSUSDT,0.04,-3.42,-3.37,0.51,7
MANAUSDT,GMXUSDT,0.03,-3.51,-3.37,0.01,7
MOVRUSDT,SPELLUSDT,0.03,-3.56,-3.37,16564.79,7
LITUSDT,ZRXUSDT,0.02,-3.65,-3.37,1.97,7
MASKUSDT,SKLUSDT,0.03,-3.53,-3.37,39.5,7
LTCUSDT,ARPAUSDT,0.03,-3.48,-3.37,1164.79,7
IOTAUSDT,ARUSDT,0.03,-3.55,-3.37,0.01,7
ASTRUSDT,LINKUSDT,0.03,-3.56,-3.37,0.01,7
LITUSDT,IMXUSDT,0.03,-3.49,-3.37,0.46,7
SKLUSDT,LINKUSDT,0.02,-3.73,-3.37,0.01,7
MOVRUSDT,RDNTUSDT,0.04,-3.47,-3.37,79.87,7
ICPUSDT,SAGAUSDT,0.03,-3.51,-3.37,4.96,7
MOVRUSDT,DARUSDT,0.04,-3.46,-3.37,93.39,7
AVAXUSDT,LINKUSDT,0.04,-3.41,-3.37,2.17,7
ICPUSDT,TNSRUSDT,0.04,-3.46,-3.37,11.98,7
MANAUSDT,FETUSDT,0.03,-3.5,-3.37,0.2,7
IOTAUSDT,ENSUSDT,0.02,-3.75,-3.37,0.01,7
ZILUSDT,DARUSDT,0.02,-3.61,-3.37,0.15,7
MOVRUSDT,ARUSDT,0.04,-3.4,-3.37,0.38,7
XRPUSDT,TIAUSDT,0.02,-3.65,-3.37,0.05,7
ICPUSDT,GMXUSDT,0.04,-3.42,-3.37,0.38,7
ICPUSDT,FETUSDT,0.0,-4.49,-3.37,5.31,7
ATAUSDT,LOOKSUSDT,0.02,-3.7,-3.37,1.72,7
ICPUSDT,TRUUSDT,0.04,-3.46,-3.37,73.78,7
ICPUSDT,RDNTUSDT,0.01,-4.01,-3.37,64.17,7
TRXUSDT,RDNTUSDT,0.04,-3.4,-3.37,0.59,7
LTCUSDT,IOTXUSDT,0.03,-3.55,-3.37,1604.64,7
ETHUSDT,REZUSDT,0.01,-3.84,-3.37,26803.1,6
MOVRUSDT,SNXUSDT,0.04,-3.41,-3.37,5.22,6
APEUSDT,1000BONKUSDT,0.02,-3.61,-3.37,35.85,6
MOVRUSDT,1000BONKUSDT,0.03,-3.54,-3.37,422.96,6
GMTUSDT,GALUSDT,0.01,-3.9,-3.37,0.06,6
SOLUSDT,ONDOUSDT,0.02,-3.71,-3.37,145.51,6
WLDUSDT,ETHFIUSDT,0.0,-4.22,-3.37,0.99,6
TRXUSDT,DOGEUSDT,0.04,-3.47,-3.37,0.69,6
IOTAUSDT,SNXUSDT,0.04,-3.43,-3.37,0.08,6
APEUSDT,LDOUSDT,0.03,-3.58,-3.37,0.55,6
MATICUSDT,GMXUSDT,0.03,-3.56,-3.37,0.02,6
LRCUSDT,PENDLEUSDT,0.03,-3.57,-3.37,0.04,6
MATICUSDT,UNFIUSDT,0.04,-3.42,-3.37,0.14,6
LRCUSDT,LDOUSDT,0.02,-3.75,-3.37,0.12,6
MATICUSDT,1000BONKUSDT,0.04,-3.42,-3.37,20.06,6
MATICUSDT,ARKMUSDT,0.04,-3.41,-3.37,0.31,6
APEUSDT,KNCUSDT,0.01,-3.94,-3.37,1.97,6
LTCUSDT,PORTALUSDT,0.04,-3.38,-3.37,99.86,6
LRCUSDT,ALTUSDT,0.01,-3.84,-3.37,0.8,6
MOVRUSDT,LDOUSDT,0.03,-3.49,-3.37,6.47,6
TRXUSDT,DYDXUSDT,0.04,-3.43,-3.37,0.06,5
TRXUSDT,LINKUSDT,0.03,-3.57,-3.37,0.01,5
LTCUSDT,OMNI1USDT,0.01,-3.82,-3.37,4.82,5
SXPUSDT,UNIUSDT,0.04,-3.4,-3.37,0.03,5
ZRXUSDT,LINKUSDT,0.02,-3.6,-3.37,0.03,5
LTCUSDT,TLMUSDT,0.02,-3.64,-3.37,4639.92,5
APEUSDT,COTIUSDT,0.04,-3.47,-3.37,9.61,5
LTCUSDT,KLAYUSDT,0.01,-3.82,-3.37,447.95,5
LTCUSDT,TRUUSDT,0.01,-3.96,-3.37,507.82,5
LTCUSDT,GMXUSDT,0.0,-4.29,-3.37,2.61,5
WUSDT,JASMYUSDT,0.01,-4.02,-3.37,24.56,5
IOTAUSDT,LINKUSDT,0.03,-3.55,-3.37,0.01,5
ATAUSDT,WIFUSDT,0.03,-3.5,-3.37,0.05,5
APEUSDT,UNIUSDT,0.02,-3.61,-3.37,0.12,5
APEUSDT,ICPUSDT,0.04,-3.42,-3.37,0.11,5
LTCUSDT,XVSUSDT,0.02,-3.62,-3.37,8.59,5
LQTYUSDT,TRXUSDT,0.01,-4.07,-3.37,9.9,5
APEUSDT,BSVUSDT,0.02,-3.65,-3.37,0.02,5
ADAUSDT,OCEANUSDT,0.01,-3.85,-3.37,0.48,5
ADAUSDT,AGIXUSDT,0.01,-3.86,-3.37,0.48,5
ZETAUSDT,TRUUSDT,0.02,-3.68,-3.37,8.95,5
APEUSDT,AVAXUSDT,0.03,-3.54,-3.37,0.03,5
1000XECUSDT,OCEANUSDT,0.03,-3.48,-3.37,0.05,5
MANAUSDT,DARUSDT,0.01,-3.96,-3.37,2.78,5
MOVRUSDT,BANDUSDT,0.04,-3.4,-3.37,8.96,5
OMGUSDT,BCHUSDT,0.03,-3.47,-3.37,0.0,5
MASKUSDT,BANDUSDT,0.01,-4.02,-3.37,2.04,5
MASKUSDT,MKRUSDT,0.01,-3.77,-3.37,0.0,5
APEUSDT,AAVEUSDT,0.04,-3.46,-3.37,0.01,5
APEUSDT,THETAUSDT,0.04,-3.41,-3.37,0.56,5
ICPUSDT,MAGICUSDT,0.04,-3.41,-3.37,15.38,5
ICPUSDT,LQTYUSDT,0.03,-3.52,-3.37,10.88,5
APEUSDT,IMXUSDT,0.03,-3.51,-3.37,0.54,5
ICPUSDT,BNTUSDT,0.03,-3.5,-3.37,15.31,5
APEUSDT,OPUSDT,0.01,-3.94,-3.37,0.5,5
MOVRUSDT,TRUUSDT,0.03,-3.54,-3.37,92.03,5
LITUSDT,BCHUSDT,0.03,-3.47,-3.37,0.0,5
LITUSDT,1INCHUSDT,0.01,-4.04,-3.37,2.53,5
MASKUSDT,KEYUSDT,0.01,-3.93,-3.37,468.16,5
BNTUSDT,BCHUSDT,0.04,-3.42,-3.37,0.0,5
SOLUSDT,BIGTIMEUSDT,0.05,-3.37,-3.37,854.95,5
BNTUSDT,ADAUSDT,0.04,-3.43,-3.37,1.73,5
ORBSUSDT,GMXUSDT,0.03,-3.53,-3.37,0.0,5
BCHUSDT,LINKUSDT,0.01,-4.09,-3.37,27.77,5
MOVRUSDT,ENSUSDT,0.02,-3.75,-3.37,0.63,5
SOLUSDT,AAVEUSDT,0.03,-3.55,-3.37,1.64,5
GMTUSDT,DARUSDT,0.0,-4.21,-3.37,1.42,5
JTOUSDT,ENSUSDT,0.03,-3.5,-3.37,0.15,5
BNTUSDT,TRXUSDT,0.01,-3.92,-3.37,7.04,5
MOVRUSDT,COREUSDT,0.03,-3.51,-3.37,7.7,4
MANAUSDT,COMPUSDT,0.03,-3.5,-3.37,0.01,4
ZILUSDT,GALUSDT,0.01,-3.88,-3.37,0.01,4
EGLDUSDT,ETCUSDT,0.03,-3.57,-3.37,1.25,4
LTCUSDT,1000BONKUSDT,0.03,-3.59,-3.37,2336.22,4
ATAUSDT,UNFIUSDT,0.03,-3.48,-3.37,0.03,4
MASKUSDT,BNXUSDT,0.02,-3.68,-3.37,2.7,4
C98USDT,ETCUSDT,0.04,-3.42,-3.37,0.01,4
ZILUSDT,UNFIUSDT,0.01,-3.87,-3.37,0.0,4
SANDUSDT,ICPUSDT,0.03,-3.48,-3.37,0.04,4
APEUSDT,BNXUSDT,0.04,-3.45,-3.37,1.01,4
MATICUSDT,BNXUSDT,0.03,-3.51,-3.37,0.56,4
MASKUSDT,GALUSDT,0.01,-3.89,-3.37,0.93,4
BOMEUSDT,FLOKIUSDT,0.02,-3.75,-3.37,54.13,4
BCHUSDT,KEYUSDT,0.05,-3.38,-3.37,65223.19,3
BCHUSDT,WIFUSDT,0.02,-3.72,-3.37,150.47,3
APEUSDT,ARUSDT,0.02,-3.69,-3.37,0.03,3
APEUSDT,MKRUSDT,0.01,-3.98,-3.37,0.0,3
MOVRUSDT,GALUSDT,0.04,-3.47,-3.37,4.1,3
LTCUSDT,BANDUSDT,0.02,-3.76,-3.37,49.52,3
APEUSDT,SOLUSDT,0.03,-3.56,-3.37,0.01,3
APEUSDT,CFXUSDT,0.03,-3.48,-3.37,5.78,3
MOVRUSDT,JASMYUSDT,0.03,-3.56,-3.37,650.91,3
LTCUSDT,JASMYUSDT,0.02,-3.67,-3.37,3595.35,3
MOVRUSDT,KEYUSDT,0.04,-3.46,-3.37,2058.99,3
MOVRUSDT,UNIUSDT,0.03,-3.49,-3.37,1.47,3
LTCUSDT,1INCHUSDT,0.01,-3.85,-3.37,195.33,3
EOSUSDT,API3USDT,0.04,-3.4,-3.37,0.29,3
MANTAUSDT,BCHUSDT,0.02,-3.68,-3.37,0.0,3
LTCUSDT,FLOKIUSDT,0.02,-3.65,-3.37,339664.69,3
ZILUSDT,FLOKIUSDT,0.0,-4.12,-3.37,97.65,3
MANTAUSDT,EOSUSDT,0.03,-3.57,-3.37,2.09,3
MASKUSDT,UNIUSDT,0.04,-3.42,-3.37,0.33,3
WUSDT,FLOKIUSDT,0.01,-4.09,-3.37,2321.66,3
ORBSUSDT,1INCHUSDT,0.02,-3.65,-3.37,0.08,3
BNTUSDT,UNIUSDT,0.02,-3.64,-3.37,0.08,3
MATICUSDT,1INCHUSDT,0.03,-3.55,-3.37,1.68,3
MASKUSDT,IOSTUSDT,0.04,-3.43,-3.37,378.87,3
IOTAUSDT,BANDUSDT,0.04,-3.41,-3.37,0.13,3
MASKUSDT,1INCHUSDT,0.0,-4.37,-3.37,8.04,3
MASKUSDT,OCEANUSDT,0.04,-3.41,-3.37,3.58,3
IOTAUSDT,API3USDT,0.03,-3.56,-3.37,0.08,3
ICPUSDT,OMNI1USDT,0.03,-3.51,-3.37,0.7,3
IOTAUSDT,1INCHUSDT,0.02,-3.64,-3.37,0.52,3
ICXUSDT,STMXUSDT,0.0,-4.22,-3.37,27.83,3
IOTAUSDT,IOSTUSDT,0.02,-3.59,-3.37,24.76,3
LITUSDT,IOSTUSDT,0.05,-3.37,-3.37,118.98,3
IDUSDT,1INCHUSDT,0.01,-3.84,-3.37,1.72,3
BATUSDT,AVAXUSDT,0.02,-3.62,-3.37,0.01,3
IOTAUSDT,AAVEUSDT,0.03,-3.56,-3.37,0.0,3
MASKUSDT,BCHUSDT,0.02,-3.62,-3.37,0.01,3
MOVRUSDT,LEVERUSDT,0.04,-3.45,-3.37,4060.5,3
APEUSDT,FLOKIUSDT,0.02,-3.67,-3.37,5215.02,3
LTCUSDT,KEYUSDT,0.02,-3.71,-3.37,11371.87,3
TRXUSDT,ATOMUSDT,0.04,-3.41,-3.37,0.01,3
LTCUSDT,CVXUSDT,0.04,-3.45,-3.37,30.13,3
LTCUSDT,NFPUSDT,0.02,-3.65,-3.37,169.67,3
LTCUSDT,WIFUSDT,0.01,-3.93,-3.37,26.25,3
LTCUSDT,DYMUSDT,0.01,-3.78,-3.37,29.01,3
LTCUSDT,GALUSDT,0.01,-3.77,-3.37,22.65,2
MASKUSDT,FLOKIUSDT,0.02,-3.6,-3.37,13989.05,2
ICPUSDT,ONDOUSDT,0.04,-3.38,-3.37,10.57,2
ETCUSDT,AIUSDT,0.0,-4.64,-3.37,28.49,2
1000SATSUSDT,UNFIUSDT,0.01,-3.86,-3.37,0.0,2
ENJUSDT,UNFIUSDT,0.04,-3.4,-3.37,0.07,2
APEUSDT,GALUSDT,0.01,-3.93,-3.37,0.35,2
ICPUSDT,AGLDUSDT,0.04,-3.43,-3.37,9.97,1
APEUSDT,1INCHUSDT,0.04,-3.4,-3.37,3.0,1
APEUSDT,FETUSDT,0.02,-3.73,-3.37,0.56,1
IOTAUSDT,GALUSDT,0.03,-3.49,-3.37,0.06,1
ICPUSDT,AAVEUSDT,0.02,-3.61,-3.37,0.12,1
MOVRUSDT,FLOKIUSDT,0.03,-3.53,-3.37,61507.05,1
LTCUSDT,TIAUSDT,0.01,-3.93,-3.37,8.63,1
LTCUSDT,AGLDUSDT,0.0,-4.23,-3.37,68.58,1
IOTAUSDT,UNIUSDT,0.03,-3.53,-3.37,0.02,1
BATUSDT,OCEANUSDT,0.05,-3.37,-3.37,0.25,1
BATUSDT,AGIXUSDT,0.04,-3.38,-3.37,0.26,1
LTCUSDT,MEMEUSDT,0.02,-3.67,-3.37,2984.21,1
MASKUSDT,JASMYUSDT,0.04,-3.41,-3.37,148.02,1
MASKUSDT,AGIXUSDT,0.04,-3.43,-3.37,3.59,1
LTCUSDT,VANRYUSDT,0.02,-3.61,-3.37,437.54,1
ZILUSDT,JASMYUSDT,0.04,-3.4,-3.37,1.03,1
BCHUSDT,NOTUSDT,0.03,-3.52,-3.37,66640.31,1
APEUSDT,AGIXUSDT,0.02,-3.72,-3.37,1.34,1
TRXUSDT,XVGUSDT,0.05,-3.37,-3.37,19.69,1
EOSUSDT,NOTUSDT,0.03,-3.49,-3.37,114.12,1
TRXUSDT,1000RATSUSDT,0.04,-3.44,-3.37,0.81,1
EOSUSDT,TIAUSDT,0.04,-3.47,-3.37,0.08,1
APEUSDT,KEYUSDT,0.04,-3.45,-3.37,174.49,1
MOVRUSDT,1INCHUSDT,0.04,-3.42,-3.37,35.36,1
APEUSDT,STMXUSDT,0.04,-3.46,-3.37,158.96,1
APEUSDT,OCEANUSDT,0.02,-3.69,-3.37,1.34,1
LTCUSDT,NOTUSDT,0.01,-4.07,-3.37,11658.62,1
LTCUSDT,UNIUSDT,0.04,-3.41,-3.37,8.09,1
LTCUSDT,AAVEUSDT,0.03,-3.51,-3.37,0.82,1
LTCUSDT,BBUSDT,0.02,-3.6,-3.37,153.14,1
APEUSDT,JASMYUSDT,0.03,-3.47,-3.37,55.18,1
TRXUSDT,ROSEUSDT,0.05,-3.38,-3.37,1.26,1
ORBSUSDT,NOTUSDT,0.03,-3.57,-3.37,4.7,1
